Temperature_A,Data Month,Time
27.945673,201907,1561939200
28.132257,201908,1564617600
27.491785,201909,1567296000
26.67196,201910,1569888000
25.717188,201911,1572566400
24.901148,201912,1575158400
24.798883,202001,1577836800
26.331263,202002,1580515200
26.932459,202003,1583020800
29.24795,202004,1585699200
28.324518,202005,1588291200
27.84292,202006,1590969600
28.085505,202007,1593561600
27.716272,202008,1596240000
27.499659,202009,1598918400
26.503534,202010,1601510400
25.409449,202011,1604188800
24.471094,202012,1606780800
24.322992,202101,1609459200
26.24682,202102,1612137600
27.14477,202103,1614556800
28.00448,202104,1617235200
28.06759,202105,1619827200
27.828058,202106,1622505600
27.885126,202107,1625097600
27.655725,202108,1627776000
27.391962,202109,1630454400
26.710413,202110,1633046400
24.981592,202111,1635724800
24.498621,202112,1638316800
24.533594,202201,1640995200
25.165552,202202,1643673600
26.875818,202203,1646092800
28.066797,202204,1648771200
27.989985,202205,1651363200
27.26153,202206,1654041600
27.606165,202207,1656633600
27.563684,202208,1659312000
26.981684,202209,1661990400
26.492853,202210,1664582400
25.398584,202211,1667260800
23.945673,202212,1669852800
24.116083,202301,1672531200
25.430475,202302,1675209600
27.783045,202303,1677628800
28.905146,202304,1680307200
28.921503,202305,1682899200
28.419428,202306,1685577600
27.33697,202307,1688169600
27.718073,202308,1690848000
27.456202,202309,1693526400
26.077387,202310,1696118400
24.814783,202311,1698796800
23.352533,202312,1701388800
24.32812,202401,1704067200
25.737207,202402,1706745600
28.031427,202403,1709251200
28.626368,202404,1711929600
29.111689,202405,1714521600
27.248285,202406,1717200000
