Temperature_D,Data Month,Time
24.519617,200904,1238544000
25.31042,200905,1241136000
25.893518,200906,1243814400
25.939753,200907,1246406400
26.014399,200908,1249084800
26.119196,200909,1251763200
25.914606,200910,1254355200
24.906824,200911,1257033600
24.704126,200912,1259625600
24.227045,201001,1262304000
24.905054,201002,1264982400
24.523249,201003,1267401600
25.0487,201004,1270080000
25.612879,201005,1272672000
25.976648,201006,1275350400
25.949274,201007,1277942400
26.186335,201008,1280620800
26.246088,201009,1283299200
25.359491,201010,1285891200
24.781733,201011,1288569600
23.359491,201012,1291161600
24.14654,201101,1293840000
24.485132,201102,1296518400
24.477839,201103,1298937600
25.211267,201104,1301616000
25.857447,201105,1304208000
26.195002,201106,1306886400
26.143793,201107,1309478400
26.347406,201108,1312156800
26.119135,201109,1314835200
25.728418,201110,1317427200
24.667597,201111,1320105600
23.665735,201112,1322697600
24.054987,201201,1325376000
24.90481,201202,1328054400
24.551569,201203,1330560000
25.118128,201204,1333238400
25.913568,201205,1335830400
26.30926,201206,1338508800
25.998316,201207,1341100800
26.193842,201208,1343779200
25.99676,201209,1346457600
25.66723,201210,1349049600
24.665918,201211,1351728000
24.81576,201212,1354320000
24.224604,201301,1356998400
24.950464,201302,1359676800
24.239283,201303,1362096000
25.125483,201304,1364774400
25.335749,201305,1367366400
26.056055,201306,1370044800
25.722467,201307,1372636800
26.0133,201308,1375315200
26.142878,201309,1377993600
25.827356,201310,1380585600
25.571283,201311,1383264000
24.439478,201312,1385856000
24.130915,201401,1388534400
24.553797,201402,1391212800
25.056269,201403,1393632000
25.531946,201404,1396310400
25.618555,201405,1398902400
25.883478,201406,1401580800
26.014856,201407,1404172800
26.100122,201408,1406851200
25.938349,201409,1409529600
25.964808,201410,1412121600
25.123499,201411,1414800000
24.233149,201412,1417392000
24.016626,201501,1420070400
24.78274,201502,1422748800
24.77746,201503,1425168000
25.468378,201504,1427846400
25.450891,201505,1430438400
25.669641,201506,1433116800
25.791834,201507,1435708800
26.664637,201508,1438387200
26.451624,201509,1441065600
26.012903,201510,1443657600
25.373957,201511,1446336000
24.972498,201512,1448928000
23.90716,201601,1451606400
24.283777,201602,1454284800
24.980188,201603,1456790400
25.37005,201604,1459468800
25.931818,201605,1462060800
26.129114,201606,1464739200
26.338404,201607,1467331200
26.587915,201608,1470009600
26.087091,201609,1472688000
25.764368,201610,1475280000
25.369867,201611,1477958400
24.995447,201612,1480550400
23.736048,201701,1483228800
24.886255,201702,1485907200
24.760523,201703,1488326400
25.610102,201704,1491004800
26.173792,201705,1493596800
26.317072,201706,1496275200
26.229792,201707,1498867200
26.476526,201708,1501545600
26.53274,201709,1504224000
25.622736,201710,1506816000
25.165827,201711,1509494400
24.021082,201712,1512086400
23.671137,201801,1514764800
24.600489,201802,1517443200
24.886194,201803,1519862400
25.055384,201804,1522540800
25.502985,201805,1525132800
25.551874,201806,1527811200
25.96081,201807,1530403200
26.220789,201808,1533081600
26.262812,201809,1535760000
25.886103,201810,1538352000
25.486963,201811,1541030400
24.134607,201812,1543622400
24.32577,201901,1546300800
24.872065,201902,1548979200
24.756922,201903,1551398400
25.072168,201904,1554076800
25.80337,201905,1556668800
26.249079,201906,1559347200
26.232935,201907,1561939200
26.551569,201908,1564617600
26.59881,201909,1567296000
26.197504,201910,1569888000
25.559626,201911,1572566400
24.756464,201912,1575158400
24.3305,202001,1577836800
24.501734,202002,1580515200
24.093225,202003,1583020800
25.475214,202004,1585699200
25.973413,202005,1588291200
26.45611,202006,1590969600
26.501581,202007,1593561600
26.734583,202008,1596240000
26.512812,202009,1598918400
25.9602,202010,1601510400
25.332422,202011,1604188800
24.230188,202012,1606780800
24.16421,202101,1609459200
24.981256,202102,1612137600
24.761896,202103,1614556800
25.345362,202104,1617235200
25.659327,202105,1619827200
26.1878,202106,1622505600
26.164515,202107,1625097600
26.195154,202108,1627776000
26.066889,202109,1630454400
25.44723,202110,1633046400
23.606623,202111,1635724800
23.606867,202112,1638316800
23.498041,202201,1640995200
23.935968,202202,1643673600
24.289728,202203,1646092800
24.903193,202204,1648771200
25.358027,202205,1651363200
25.365198,202206,1654041600
25.752802,202207,1656633600
26.086756,202208,1659312000
25.67962,202209,1661990400
25.013025,202210,1664582400
24.126886,202211,1667260800
23.030268,202212,1669852800
23.460566,202301,1672531200
24.726892,202302,1675209600
25.208918,202303,1677628800
24.761438,202304,1680307200
25.380701,202305,1682899200
26.343897,202306,1685577600
25.843622,202307,1688169600
26.543665,202308,1690848000
26.270288,202309,1693526400
25.662287,202310,1696118400
23.981348,202311,1698796800
23.037317,202312,1701388800
24.279291,202401,1704067200
24.157679,202402,1706745600
25.197474,202403,1709251200
25.247889,202404,1711929600
25.824945,202405,1714521600
26.349115,202406,1717200000
